,longitude,latitude,month,light,severity,participants,injured,dead,grid_square,safe
0,37.433059,55.849084,06,0,0,2,1,0,"37.433059,55.849084",0
1,37.5695,55.8121,02,0,0,2,1,0,"37.5695,55.8121",0
2,37.648162,55.62839,06,1,0,2,1,0,"37.648162,55.62839",0
3,37.357249,55.387448,09,0,1,2,1,0,"37.357249,55.387448",0
4,37.718521,55.783288,03,0,0,2,1,0,"37.718521,55.783288",0
5,37.832826,55.758044,02,0,2,2,0,1,"37.832826,55.758044",0
6,37.4614,55.5628,02,0,1,3,2,0,"37.4614,55.5628",0
7,37.447071,55.53259,09,0,0,2,1,0,"37.447071,55.53259",0
8,37.537902,55.684416,03,1,0,2,1,0,"37.537902,55.684416",0
9,37.126894,55.270932,08,0,1,4,1,0,"37.126894,55.270932",0
10,37.833116,55.771522,06,0,0,2,1,0,"37.833116,55.771522",0
11,37.759259,55.636857,03,0,0,2,1,0,"37.759259,55.636857",0
12,37.107493,55.596238,06,0,1,2,1,0,"37.107493,55.596238",0
13,37.806755,55.729285,11,0,0,2,1,0,"37.806755,55.729285",0
14,37.479987,55.78137,10,1,0,2,1,0,"37.479987,55.78137",0
15,37.40952,55.829872,12,0,0,3,1,0,"37.40952,55.829872",0
16,37.519448,55.803796,09,1,0,1,1,0,"37.519448,55.803796",0
17,37.749895,55.626189,06,0,0,2,1,0,"37.749895,55.626189",0
18,37.664437,55.88722,04,0,0,2,1,0,"37.664437,55.88722",0
19,37.228117,55.486514,08,3,1,1,1,0,"37.228117,55.486514",0
20,37.347207,55.317693,05,1,2,1,0,1,"37.347207,55.317693",0
21,37.552192,55.792543,02,0,0,2,1,0,"37.552192,55.792543",0
22,37.434465,55.739723,11,0,0,3,2,0,"37.434465,55.739723",0
23,37.481394,55.60044,12,0,0,2,1,0,"37.481394,55.60044",0
24,37.3356,55.6322,12,1,0,3,1,0,"37.3356,55.6322",0
25,37.352432,55.828191,01,0,0,2,1,0,"37.352432,55.828191",0
26,37.244973,55.316142,12,3,1,3,2,0,"37.244973,55.316142",0
27,37.45854,55.80716,03,0,1,2,1,0,"37.45854,55.80716",0
28,37.613786,55.598068,01,0,0,2,1,0,"37.613786,55.598068",0
29,37.666771,55.67944,07,0,1,2,1,0,"37.666771,55.67944",0
30,37.524576,55.876491,03,1,0,2,1,0,"37.524576,55.876491",0
31,37.168445,55.992665,04,0,0,3,1,0,"37.168445,55.992665",0
32,37.566687,55.863494,08,0,0,2,1,0,"37.566687,55.863494",0
33,37.617456,55.642119,03,0,0,2,1,0,"37.617456,55.642119",0
34,37.7503,55.6578,04,1,0,2,1,0,"37.7503,55.6578",0
35,37.65609,55.705783,03,0,0,2,1,0,"37.65609,55.705783",0
36,37.933881,55.689742,09,0,1,2,1,0,"37.933881,55.689742",0
37,37.669233,55.586871,07,0,0,2,1,0,"37.669233,55.586871",0
38,37.204235,56.005724,04,0,0,2,1,0,"37.204235,56.005724",0
39,37.596797,55.58117,04,2,0,2,1,0,"37.596797,55.58117",0
40,37.212389,55.534205,07,0,1,4,2,0,"37.212389,55.534205",0
41,37.700239,55.736293,07,0,1,2,1,0,"37.700239,55.736293",0
42,37.566483,55.653537,03,1,1,2,1,0,"37.566483,55.653537",0
43,37.780159,55.71245,06,0,0,2,1,0,"37.780159,55.71245",0
44,37.62135,55.683446,01,1,0,2,1,0,"37.62135,55.683446",0
45,37.1558,55.5793,07,0,0,3,2,0,"37.1558,55.5793",0
46,37.376744,55.576343,06,0,0,2,2,0,"37.376744,55.576343",0
47,37.739625,55.672303,08,0,0,2,2,0,"37.739625,55.672303",0
48,37.586085,55.729352,11,1,1,2,1,0,"37.586085,55.729352",0
49,37.601367,55.828808,10,0,0,2,1,0,"37.601367,55.828808",0
50,37.592865,55.67753,04,0,0,2,1,0,"37.592865,55.67753",0
51,37.740312,55.800316,10,1,0,4,1,0,"37.740312,55.800316",0
52,37.564112,55.784465,10,1,1,2,1,0,"37.564112,55.784465",0
53,37.4786,55.5408,06,0,1,2,1,0,"37.4786,55.5408",0
54,37.714723,55.617286,03,1,0,2,1,0,"37.714723,55.617286",0
55,37.548298,55.602257,08,0,0,2,1,0,"37.548298,55.602257",0
56,37.580087,55.726325,09,0,0,2,1,0,"37.580087,55.726325",0
57,37.4237,55.6206,07,0,1,2,1,0,"37.4237,55.6206",0
58,37.434384,55.85005,07,0,0,2,1,0,"37.434384,55.85005",0
59,37.233524,55.555098,07,0,1,2,1,0,"37.233524,55.555098",0
60,37.68346,55.855034,06,0,0,2,1,0,"37.68346,55.855034",0
61,37.201788,55.960918,07,0,1,1,1,0,"37.201788,55.960918",0
62,37.820938,55.743961,02,1,1,3,3,0,"37.820938,55.743961",0
63,37.216358,55.991847,07,0,1,2,1,0,"37.216358,55.991847",0
64,37.495576,55.852083,07,0,1,3,1,0,"37.495576,55.852083",0
65,37.466458,55.860568,07,0,1,1,1,0,"37.466458,55.860568",0
66,37.512189,55.607122,02,0,0,3,1,0,"37.512189,55.607122",0
67,37.587233,55.577459,07,0,0,2,1,0,"37.587233,55.577459",0
