longitude,latitude,month,light,severity,participants,injured,dead,grid_square,safe
37.511401,55.752103,8,0,0,2,1,0,"37.511401,55.752103",0
37.511541,55.764901,2,1,0,1,1,0,"37.511541,55.764901",0
37.511798,55.769694,11,0,0,3,1,0,"37.511798,55.769694",0
37.51139,55.777834,12,1,2,2,0,1,"37.51139,55.777834",0
37.5119,55.7814,4,0,1,2,1,0,"37.5119,55.7814",0
37.511712,55.781877,2,1,0,3,2,0,"37.511712,55.781877",0
37.511515,55.789057,4,0,0,2,1,0,"37.511515,55.789057",0
37.511809,55.79244,9,0,0,4,3,0,"37.511809,55.79244",0
37.511594,55.794931,2,0,1,2,1,0,"37.511594,55.794931",0
37.511948,55.805448,4,0,0,2,1,0,"37.511948,55.805448",0
37.513214,55.748492,12,0,0,2,1,0,"37.513214,55.748492",0
37.512463,55.780405,6,0,0,2,1,0,"37.512463,55.780405",0
37.5128,55.7861,12,1,0,2,1,0,"37.5128,55.7861",0
37.512774,55.786546,4,0,0,2,1,0,"37.512774,55.786546",0
37.512259,55.78759,6,1,0,2,1,0,"37.512259,55.78759",0
37.512184,55.787855,11,1,0,2,1,0,"37.512184,55.787855",0
37.512774,55.796704,4,0,0,2,1,0,"37.512774,55.796704",0
37.513129,55.797108,1,0,0,2,1,0,"37.513129,55.797108",0
37.513289,55.801968,5,0,0,2,1,0,"37.513289,55.801968",0
37.513032,55.803253,7,0,1,2,1,0,"37.513032,55.803253",0
37.512195,55.805731,4,0,0,3,2,0,"37.512195,55.805731",0
37.514427,55.747188,1,1,1,2,1,0,"37.514427,55.747188",0
37.513751,55.748063,6,0,0,2,1,0,"37.513751,55.748063",0
37.514786,55.769004,11,1,0,4,3,0,"37.514786,55.769004",0
37.513504,55.777014,6,0,0,2,1,0,"37.513504,55.777014",0
37.514727,55.782836,9,2,0,5,2,0,"37.514727,55.782836",0
37.513981,55.783451,4,0,1,2,1,0,"37.513981,55.783451",0
37.51418,55.783934,8,0,0,2,1,0,"37.51418,55.783934",0
37.513783,55.792753,8,0,0,2,1,0,"37.513783,55.792753",0
37.513762,55.795805,1,1,0,2,1,0,"37.513762,55.795805",0
37.513588,55.797001,4,0,2,2,0,1,"37.513588,55.797001",0
37.513601,55.80195,9,1,0,2,1,0,"37.513601,55.80195",0
37.513914,55.802818,11,0,2,2,0,1,"37.513914,55.802818",0
37.513815,55.805236,12,1,0,2,1,0,"37.513815,55.805236",0
37.515242,55.769404,10,0,0,2,1,0,"37.515242,55.769404",0
37.51411,55.777593,5,0,0,2,1,0,"37.51411,55.777593",0
37.515006,55.782396,2,0,0,2,1,0,"37.515006,55.782396",0
37.515146,55.769482,10,0,0,2,2,0,"37.515146,55.769482",0
37.515146,55.777635,8,0,0,2,1,0,"37.515146,55.777635",0
37.515736,55.779626,11,1,0,2,1,0,"37.515736,55.779626",0
37.51614,55.780128,6,1,0,2,1,0,"37.51614,55.780128",0
37.5153,55.7809,4,0,0,2,1,0,"37.5153,55.7809",0
37.5151,55.782,5,0,1,2,1,0,"37.5151,55.782",0
37.5156,55.7929,10,0,1,2,1,0,"37.5156,55.7929",0
37.514824,55.798416,12,0,0,2,1,0,"37.514824,55.798416",0
37.515607,55.799822,10,1,0,2,1,0,"37.515607,55.799822",0
37.5157,55.8039,3,0,0,2,1,0,"37.5157,55.8039",0
37.515403,55.804501,8,0,0,2,1,0,"37.515403,55.804501",0
37.515306,55.805122,11,0,0,3,1,0,"37.515306,55.805122",0
37.516583,55.758309,2,0,0,2,1,0,"37.516583,55.758309",0
37.517548,55.761118,7,0,0,2,1,0,"37.517548,55.761118",0
37.517045,55.768571,7,0,1,3,3,0,"37.517045,55.768571",0
37.516956,55.771325,4,0,0,2,1,0,"37.516956,55.771325",0
37.516369,55.777472,10,1,0,2,1,0,"37.516369,55.777472",0
37.517141,55.777974,2,0,0,2,1,0,"37.517141,55.777974",0
37.5164,55.7788,10,0,1,2,1,0,"37.5164,55.7788",0
37.516401,55.779705,3,1,0,3,1,0,"37.516401,55.779705",0
37.516602,55.780279,8,0,0,2,1,0,"37.516602,55.780279",0
37.517323,55.793387,9,0,0,3,1,0,"37.517323,55.793387",0
37.5169,55.7953,4,1,1,3,2,0,"37.5169,55.7953",0
37.516575,55.799831,12,1,1,2,1,0,"37.516575,55.799831",0
37.516197,55.800503,10,1,1,2,1,0,"37.516197,55.800503",0
37.516894,55.801353,5,0,0,2,1,0,"37.516894,55.801353",0
37.517334,55.801884,1,1,0,2,1,0,"37.517334,55.801884",0
37.517,55.803,12,0,0,2,1,0,"37.517,55.803",0
37.516894,55.804694,9,0,0,2,1,0,"37.516894,55.804694",0
37.51847,55.769114,12,0,0,2,1,0,"37.51847,55.769114",0
37.517678,55.777273,7,0,0,2,1,0,"37.517678,55.777273",0
37.51771,55.779892,7,0,0,2,1,0,"37.51771,55.779892",0
37.517978,55.789888,1,0,0,2,1,0,"37.517978,55.789888",0
37.51794,55.794719,2,1,0,3,2,0,"37.51794,55.794719",0
37.518042,55.802782,3,0,0,2,1,0,"37.518042,55.802782",0
37.518147,55.76914,4,0,1,1,1,0,"37.518147,55.76914",0
37.5179,55.771,2,1,0,2,1,0,"37.5179,55.771",0
37.51854,55.771631,7,1,0,2,1,0,"37.51854,55.771631",0
37.517613,55.777327,9,1,0,2,1,0,"37.517613,55.777327",0
37.518171,55.795286,8,0,2,2,0,1,"37.518171,55.795286",0
37.518182,55.795678,11,0,0,2,1,0,"37.518182,55.795678",0
37.5186,55.7969,1,0,0,2,1,0,"37.5186,55.7969",0
37.518911,55.80075,8,0,0,2,1,0,"37.518911,55.80075",0
37.517806,55.802445,11,1,0,2,1,0,"37.517806,55.802445",0
37.518386,55.803675,7,0,0,4,3,0,"37.518386,55.803675",0
37.5197,55.757211,5,0,0,2,1,0,"37.5197,55.757211",0
37.520167,55.764841,12,1,0,2,1,0,"37.520167,55.764841",0
37.519455,55.773753,3,0,0,2,1,0,"37.519455,55.773753",0
37.520016,55.774437,5,1,0,2,1,0,"37.520016,55.774437",0
37.5195,55.7774,7,1,1,1,1,0,"37.5195,55.7774",0
37.519265,55.786908,11,1,1,3,1,0,"37.519265,55.786908",0
37.519544,55.78838,9,1,0,2,1,0,"37.519544,55.78838",0
37.51918,55.795467,3,1,1,2,1,0,"37.51918,55.795467",0
37.519111,55.798892,12,1,0,2,1,0,"37.519111,55.798892",0
37.519351,55.79981,9,0,0,2,1,0,"37.519351,55.79981",0
37.520124,55.802975,6,0,0,3,2,0,"37.520124,55.802975",0
37.519448,55.803796,9,1,0,1,1,0,"37.519448,55.803796",0
37.5203,55.8056,2,0,0,2,1,0,"37.5203,55.8056",0
37.521273,55.753129,3,1,0,2,1,0,"37.521273,55.753129",0
37.520585,55.754506,7,0,0,4,2,0,"37.520585,55.754506",0
37.520757,55.770333,12,1,0,2,1,0,"37.520757,55.770333",0
37.5211,55.77568,11,1,0,3,1,0,"37.5211,55.77568",0
37.520663,55.777244,10,0,0,2,1,0,"37.520663,55.777244",0
37.521186,55.793543,8,0,0,2,1,0,"37.521186,55.793543",0
37.521486,55.754844,3,0,0,2,1,0,"37.521486,55.754844",0
